GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Docs Web/docs-core,com.sismics.util.jpa,EMF.new DbOpenHelper() {...},21,0,2,0,6,0,4,0,3,0
Docs Web/docs-core,com.sismics.util.jpa,DialectUtil,92,0,18,0,19,0,13,0,4,0
Docs Web/docs-core,com.sismics.util.jpa,DbOpenHelper,318,0,28,0,85,0,22,0,8,0
Docs Web/docs-core,com.sismics.util.jpa,EMF,204,0,6,0,57,0,9,0,6,0
Docs Web/docs-core,com.sismics.docs.core.model.context,AppContext,365,0,28,0,92,0,27,0,13,0
Docs Web/docs-core,com.sismics.util,ImageUtil,190,0,22,0,48,0,16,0,5,0
Docs Web/docs-core,com.sismics.util,ClasspathScanner,84,0,12,0,18,0,10,0,4,0
Docs Web/docs-core,com.sismics.util,LocaleUtil,43,0,6,0,12,0,5,0,2,0
Docs Web/docs-core,com.sismics.util,ImageDeskew.HoughLine,12,0,0,0,3,0,1,0,1,0
Docs Web/docs-core,com.sismics.util,ResourceUtil,147,0,24,0,32,0,15,0,3,0
Docs Web/docs-core,com.sismics.util,EmailUtil.MailContent,28,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.util,EmailUtil.FileContent,12,0,0,0,4,0,4,0,4,0
Docs Web/docs-core,com.sismics.util,HttpUtil,20,0,0,0,3,0,3,0,3,0
Docs Web/docs-core,com.sismics.util,EmailUtil,411,0,40,0,97,0,26,0,6,0
Docs Web/docs-core,com.sismics.util,MessageUtil,24,0,0,0,8,0,3,0,3,0
Docs Web/docs-core,com.sismics.util,Scalr,87,0,10,0,17,0,7,0,2,0
Docs Web/docs-core,com.sismics.util,JsonUtil,44,0,6,0,10,0,7,0,4,0
Docs Web/docs-core,com.sismics.util,EnvironmentUtil,65,0,8,0,17,0,16,0,12,0
Docs Web/docs-core,com.sismics.util,ImageDeskew,386,0,28,0,65,0,21,0,7,0
Docs Web/docs-core,com.sismics.util,ResourceBundleModel,71,0,4,0,15,0,4,0,2,0
Docs Web/docs-core,com.sismics.util,HtmlToPlainText.FormattingVisitor,264,0,30,0,41,0,20,0,5,0
Docs Web/docs-core,com.sismics.util,HtmlToPlainText,13,0,0,0,4,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.event,AclEvent,43,0,0,0,15,0,8,0,8,0
Docs Web/docs-core,com.sismics.docs.core.event,AclDeletedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,DocumentUpdatedAsyncEvent,18,0,0,0,7,0,4,0,4,0
Docs Web/docs-core,com.sismics.docs.core.event,AclCreatedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,FileCreatedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,RebuildIndexAsyncEvent,7,0,0,0,3,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.event,RouteStepValidateEvent,30,0,0,0,11,0,6,0,6,0
Docs Web/docs-core,com.sismics.docs.core.event,FileDeletedAsyncEvent,29,0,0,0,11,0,6,0,6,0
Docs Web/docs-core,com.sismics.docs.core.event,FileEvent,37,0,0,0,14,0,8,0,8,0
Docs Web/docs-core,com.sismics.docs.core.event,DocumentCreatedAsyncEvent,18,0,0,0,7,0,4,0,4,0
Docs Web/docs-core,com.sismics.docs.core.event,UserEvent,10,0,0,0,4,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.event,PasswordLostEvent,28,0,0,0,11,0,6,0,6,0
Docs Web/docs-core,com.sismics.docs.core.event,FileUpdatedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,DocumentDeletedAsyncEvent,18,0,0,0,7,0,4,0,4,0
Docs Web/docs-core,org.apache.pdfbox.pdmodel.font,DocsPDType1Font,547,0,74,0,123,0,57,0,20,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RouteModelDto,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,AclDto,45,0,0,0,19,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,ContributorDto,17,0,0,0,7,0,5,0,5,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RouteDto,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,DocumentMetadataDto,51,0,0,0,19,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,GroupDto,54,0,0,0,18,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,DocumentDto,153,0,0,0,64,0,43,0,43,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,UserDto,76,0,0,0,30,0,18,0,18,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RouteStepDto,146,0,0,0,48,0,26,0,26,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RelationDto,24,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,MetadataDto,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,TagDto,43,0,0,0,16,0,11,0,11,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,WebhookDto,46,0,0,0,15,0,11,0,11,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,CommentDto,38,0,0,0,16,0,11,0,11,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,AuditLogDto,52,0,0,0,22,0,15,0,15,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,FileProcessingAsyncListener,255,0,16,0,63,0,16,0,8,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,FileDeletedAsyncListener,73,0,8,0,20,0,9,0,5,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,RebuildIndexAsyncListener,69,0,8,0,24,0,9,0,5,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,RouteStepValidateAsyncListener,51,0,2,0,13,0,5,0,4,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,AclDeletedAsyncListener,29,0,2,0,7,0,5,0,4,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,WebhookAsyncListener,132,0,4,0,37,0,12,0,10,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,DocumentDeletedAsyncListener,25,0,2,0,8,0,5,0,4,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,PasswordLostAsyncListener,46,0,2,0,13,0,5,0,4,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,DocumentUpdatedAsyncListener,108,0,10,0,28,0,9,0,4,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,DocumentCreatedAsyncListener,54,0,4,0,16,0,6,0,4,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,AclCreatedAsyncListener,29,0,2,0,7,0,5,0,4,0
Docs Web/docs-core,com.sismics.docs.core.service,FileService.TemporaryPathReference,10,0,0,0,3,0,1,0,1,0
